Unnamed: 0,periodStartUnix,liquidity,open,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken0,pool.totalValueLockedToken1,pool.token0.decimals,pool.token1.decimals,note
0,1627776000,5998128846971,2.41678853659e-05,2.41892151445e-05,2.39855904356e-05,2.39855904356e-05,550291024883540163414232679033419660,203270931603231317662220310131150317957,68933741.36238897,1157.50697069,35058831.559686,8,6,
1,1627779600,6075142779355,2.39693371813e-05,2.39693371813e-05,2.3930425375e-05,2.3930425375e-05,550291024883540163414232679033419660,203295097729706314973930635547634510535,68933741.36238897,1157.50697069,35058831.559686,8,6,
2,1627783200,6075142779355,2.39435984244e-05,2.39435984244e-05,2.39435984244e-05,2.39435984244e-05,550304809272222245747580641226071198,203295097729706314973930635547634510535,68933741.36238897,1157.50697069,35058831.559686,8,6,
3,1627786800,4715024246920,2.39171520605e-05,2.39171520605e-05,2.36053144125e-05,2.36053144125e-05,550313591942415824864402821446740344,203435265363414348312112277970205932730,68933741.36238897,1157.50697069,35058831.559686,8,6,
4,1627790400,4846737875742,2.36109008829e-05,2.37039036902e-05,2.36109008829e-05,2.36892497071e-05,550465867742287840520152580513155287,203483674964471471337221671695876799728,68933741.36238897,1157.50697069,35058831.559686,8,6,
5,1627794000,5133822517018,2.36892497071e-05,2.38950278507e-05,2.36892497071e-05,2.38896315458e-05,550701881059729103417642499126006159,203486040580699025864542160951468112270,68933741.36238897,1157.50697069,35058831.559686,8,6,
6,1627797600,5634784019484,2.38896315458e-05,2.39369733377e-05,2.38896315458e-05,2.3936084409e-05,550751444483663439481967717610810698,203486429187790897463956505950781258161,68933741.36238897,1157.50697069,35058831.559686,8,6,
7,1627801200,5752942780273,2.38940367443e-05,2.39378427012e-05,2.38940367443e-05,2.39378427012e-05,550788900896591093027022619542632982,203504835653621257805226891616033291729,68933741.36238897,1157.50697069,35058831.559686,8,6,
8,1627804800,5700576412456,2.39378427012e-05,2.3940564645e-05,2.39376880964e-05,2.3940564645e-05,550797303641914851412925811327443361,203504903235994865424659584986743048492,68933741.36238897,1157.50697069,35058831.559686,8,6,
9,1627808400,5308721315905,2.3940564645e-05,2.3940564645e-05,2.38749303653e-05,2.38749303653e-05,550800313582809973803933856180382957,203533648002893159140023932907137529939,68933741.36238897,1157.50697069,35058831.559686,8,6,
